,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
46,"Pétales riz, blé complet et orge nature",2,b,1615,0.3,15.0,3.1,8.3,0.36,16.4
47,"Céréales Pétales de riz, blé complet et orge",2,b,1632,0.3,11.2,3.7,7.7,0.32,15.8
48,"Nourish Pétales & pépites - airelles, pommes et graines de courge",0,b,1609,0.8,17.0,8.9,10.0,0.3,16.2
49,Pétale de Blé goût chocolat,0,b,1648,2.0,26.0,5.3,8.1,0.056,15.4
50,Pétales 3 céréales,2,b,1632,0.3,13.0,3.7,7.7,0.32,15.8
51,Petales nature,0,b,1615,0.3,15.0,5.2,8.3,0.36,17.2
52,Pétales de maïs,2,b,1540,0.3,5.5,0.0,7.3,0.12,16.0
53,Special K Classic,0,b,1578,0.3,11.9,4.8,9.3,0.4,16.4
54,Corn Flakes,1,b,1536,0.4,1.9,3.3,8.0,0.44,16.4
55,Pétales de quinoa au cacao,0,b,1473,0.8,23.9,5.1,8.0,0.044,16.8
56,"Special K nourish - myrtilles, mûres, framboises & groseilles",0,b,1565,0.5,14.0,9.5,10.0,0.32,16.8
57,Corn Flakes,0,b,1615,0.23,8.0,0.0,8.2,0.0,17.2
58,Forme et fruits rouges,1,b,1636,0.3,11.9,3.9,7.8,0.28,15.8
59,Fine Ligne riz et blé complet nature,2,b,1615,0.3,15.0,3.1,8.3,0.36,16.4
60,Corn Flakes Pétales de maïs dorés au four,2,b,1586,0.2,7.0,3.0,8.0,0.44,16.4
61,Riz et blé complet fruits rouges,0,b,1602,0.3,17.0,6.1,8.2,0.36,16.6
62,Pétales Choc',1,b,1569,1.7,19.0,5.5,6.3,0.06,15.2
63,Spécial Flakes - Pétales de Riz et blé complet,2,b,1647,0.8,24.0,4.5,8.0,0.152,16.0
64,Pétales de blé chocolat,0,b,1510,1.7,21.0,11.0,9.0,0.172,15.8
65,Corn flakes cacao,2,b,1623,0.8,17.0,3.8,6.8,0.344,14.8
66,Corn Flakes,3,c,1604,0.2,8.0,3.0,7.0,0.452,15.4
67,Petal' Choco,10,c,1628,1.4,27.2,2.1,8.1,0.128,14.8
68,Pétales O Choc,7,c,1565,2.1,20.0,9.5,9.7,0.2,15.4
69,Special K feuilles de Chocolat Noir (Format Maxi),8,c,1648,3.0,20.0,4.9,8.6,0.332,14.8
