,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
292,Pétales de riz et de blé complet aux copeaux de chocolat noir,12,d,1719,4.0,24.0,4.0,9.0,0.3556,13.8
293,Sugar Flakes,12,d,1611,0.2,28.2,3.5,6.0,0.5,13.8
294,Chocapic Barres,17,d,1703,8.1,28.4,3.6,7.6,0.16,9.4
295,Pétales de maïs croustillants,11,d,1589,0.2,5.7,3.4,8.1,0.88,13.8
296,Corn flakes,11,d,1570,0.1,3.8,3.4,7.7,0.92,13.2
297,Chocolat Lait Maïs Bio,21,e,2320,23.3,38.1,3.8,8.6,0.112,6.7
298,Mini Cookies,26,e,2100,14.0,36.0,0.0,6.7,0.272,4.5
299,Pétales de coco curry thaï,31,e,2675,41.0,33.0,0.0,4.4,0.68,6.2
300,Gaufres de Liège aux oeufs frais pétales de sucre,23,e,1845,10.5,29.4,0.9,5.0,0.24,8.4
301,Mini roses des Sables,29,e,2118,16.3,45.5,0.0,6.9,0.312,4.5
302,Pétales de Tompinambour,19,e,2029,11.0,15.3,0.0,4.3,0.02,9.6
303,Pétales de carotte au thym,22,e,2105,3.1,43.5,0.0,3.2,0.384,7.9
304,"Pétales De Saucisson Finement Tranchés, Bio,",24,e,1431,10.7,0.0,0.0,21.52,1.64,7.9
305,Pétales de jambon cru - Aoste,19,e,1134,6.5,0.5,0.0,33.0,2.2,9.1
306,Crowni Pétales de cacao,23,e,1757,7.5,34.7,0.0,5.4,0.44,7.2
307,Barres de céréales et pétales de maïs talon lait,20,e,1809,8.8,34.4,1.8,4.3,0.16,9.0
308,Pétales AOSTE,19,e,1133,6.5,0.5,0.0,33.0,2.31648,9.1
309,Chocolat blanc noix de coco pétales de maïs,27,e,2368,26.4,42.0,0.0,6.6,0.156,5.1
310,Chocolat lait Pétales de violette,26,e,2251,20.3,51.4,0.0,6.5,0.08,5.1
311,Roses au Chocolat Noir,23,e,2017,13.2,31.9,0.0,6.3,0.08,8.4
312,Pétales de coco toastées auto four,20,e,2435,42.0,34.0,14.0,4.8,0.36,9.6
313,Pétales chocolat au lait/caramel,27,e,2226,19.6,45.1,0.0,6.9,0.112,5.1
314,"Chocolat Lait - Amande, Pétale de céréales",20,e,2423,20.4,34.1,4.1,11.2,0.08,10.0
315,Extra Fin Noir Croustillant,21,e,2255,21.0,47.0,6.0,4.1,0.052,6.9
316,Dragées cœur pétale d'amour (vert tilleul),25,e,2025,9.2,71.4,0.0,3.56,0.0268,5.1
317,Noir pétales de rose,24,e,2339,23.0,39.0,0.0,7.1,0.008,6.1
318,Chocolat blanc coco céréales,25,e,2342,25.2,45.2,2.4,6.3,0.152,6.1
319,Terrine chocolatée aux noisettes et pétales de maïs,20,e,2201,5.03,48.43,0.0,6.5,0.08,5.1
