productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
Stylesse chocolat au lait,10,c,1697,3.3,23,5.3,7.4,0.26
Pétales de riz et blé complet enrobés de chocolat,6,c,1460,0.8,24,0,8,0.152
Formes flakes pétales de riz et de blé complet aux copeaux de chocolat au lait,10,c,1708,3.7,21,4.4,7.9,0.24
Pétales de riz et blé complet,9,c,1565,0.7,17.1,2.7,12.7,0.44
Pétales de blé complet et de riz,4,c,1569,0.3,11,0,11,0.324
Corn Flakes,9,c,1599,0.1,6.5,3.9,6.8,0.76
Spécial Flakes chocolat noir,8,c,1695,4.2,17.7,6.9,9,0.124
Grand Jury Cornflakes,10,c,1597,0.6,8.5,3.3,7.9,0.76
Petales au chocolat noir,8,c,1676,3.8,8.2,5.1,9.2,0.38
Stylesse Chocolat Noir,9,c,1697,3.9,22,6.3,7.4,0.248
Pétales de blé au chocolat,7,c,1636,1.2,29,6.5,9.3,0.16
Petales de cereales falafel,7,c,1565,0.4,7.7,6.2,7.2,0.68
"Pétales de riz, blé complet et orge nature",7,c,1624,0.3,17,4.5,8,0.4
Cini Minis Crunchy Muesli,8,c,1754,1.3,22.4,4.7,7.7,0.26
Corn flakes pétales de maïs dorés,6,c,351,0.2,25,0,2.6,0.132
Petales de riz et de blé complet Nature,8,c,1620,0.333,17,3,9.33,0.44
Céréales pétales au chocolat,5,c,1556,0.8,26,0,9.3,0.12
Oatbran Crisp Nuts & Honey,8,c,1791,4.8,20.1,7.7,9.7,0.012
Chabrior Forme & Nature,3,c,1632,0.3,11.2,2.8,7.7,0.32
Special K Chocolat Noir,8,c,1661,3,21,5.1,8.4,0.32
Pétales de maïs,6,c,1552,0.2,1,5,8,0.7
Bran' form fruits secs,10,c,1532,2.8,21,11,11,0.48
Pétales de blé au chocolat,9,c,1611,1.5,28.5,7,10,0.28
Corn flakes,10,c,1604,0.6,8,3.3,8,0.76
Pétales choco craquants,7,c,1649,1.7,30,6.2,9,0.092
Pétales Riz & blé complet Nature,8,c,1650,0.333,17,3,9.33,0.44
Déliform Nature,6,c,1573,0.2,18,5.8,7.4,0.44
COCO pops,7,c,1577,0.9,27,5,10,0.312
Corn Flakes Dia,8,c,1625,0.5,8.6,3.4,8,0.56896
Corn Flakes,3,c,1594,0.2,4,0,7.5,0.32
Chocapic Cœur Fondant,10,c,1718,4.3,25.7,6.4,7.9,0.144
Crousty Cao BIO,8,c,1741,3.1,24.3,8.6,9.2,0.076
Cao Flakes,8,c,1628,2.2,27.8,9.2,9.1,0.16
Crousti' Pétal Sucré,8,c,1632,0.2,19.9,3.5,7.7,0.296
Pétales de Maïs Glacés au Sucre,9,c,1624,0.2,22,2.1,7.1,0.3
Pétales de blé et fruits rouges,6,c,1561,0.2,18.4,4.9,7.9,0.36
Confiture De Fraises Aux Pétales De Roses,6,c,987,0,58,1,0.4,0
Pétales aux fruits rouges riz et blé complet,8,c,1626,0.4,19,4.2,9.2,0.4
Spécial K Nourish Chocolat et Noix de Coco,7,c,1678,1.9,15,9.2,11,0.292
Petale Riz et Ble Complet,4,c,1582,0.6,15,2.8,7.9,0.3
Pétales de céréales & copeaux de chocolat sans gluten,6,c,1669,2.6,15,4.8,7.6,0.256
Forme Fruits Rouges,10,c,1531,0.7,15.1,3.7,12.7,0.6
Les frenchchips,6,c,1879,1.8,5.2,5.3,6.1,0.444
Pétales à la pomme de terre,10,c,1891,1.4,1.4,5.3,6,0.84
Barres Céréales Chocolat,10,c,1770,4.2,24,8.1,5.3,0.152
Pétales de blé au chocolat,7,c,1632,1.7,30,7,9,0.092
Déliform Chocolat Noir,9,c,1660,3.8,28.9,5.7,8.3,0.144
Pétale de blé au goût de chocolat,9,c,1594,0.7,32,5.1,7.6,0.312
Fitness Chocolat Noir,9,c,1665,4.5,16.6,7.9,8.8,0.3
Pétales chocolat,6,c,1577,1.3,26.8,8.6,9.3,0.168
Pétales de Spiruline Crue,5,c,1565,2.9,0.4,0,68.3,0.392
Pétales de Maïs Glacés au Sucre,10,c,1632,0.2,19.9,1.5,7.7,0.296
Pétales de Maïs Nature,8,c,1561,0.2,7,3,8,0.62
Apple & Cinnamon Flakes,8,c,1601,0.3,15.4,2.9,11.3,0.372
Pétales & Form' Chocolat noir,6,c,1674,2.6,15,6.8,7.6,0.26
Chocapic (nouvelle recette),7,c,1645,1.8,28.8,6.2,8.1,0.1524
Special K - Noisettes et Amandes effilées,7,c,1666,0.8,18,4.5,9,0.4064
Pétales de blé au chocolat,7,c,1636,1.7,28,7,11,0.12192
Special K Pêche Abricot,8,c,1588,0.3,19,4.5,8,0.4
Vita Choco,8,c,1619,0.5,23,3.5,9.2,0.252
Special Flakes Chocolate,9,c,1716,3.8,16.5,4,11.5,0.22352
Bran'form nature,8,c,1520,0.4,17,15,13,0.6096
Corn flakes,4,c,1620,0.3,5,2.7,7.6,0.5
Chocapic Original,7,c,1628,1.8,28.8,6.2,8.1,0.152
"Pétales Seigle, airelles, amandes et graines de lin",7,c,1651,1.5,21,8.3,11,0.36
Special Flakes Chocolate,9,c,1716,3.8,16.5,4,11.5,0.22
Pétales aux trois céréales Nature,5,c,1573,0.2,10,0,8.7,0.44
Pétales O Choc,7,c,1561,2.3,20.3,9.5,9.5,0.184
Pétales de Céréales au Goût de Chocolat,8,c,1625,1.2,25,5,9.5,0.32004
Life Chocolat,6,c,1820,2.5,17,8,8,0.168
Les Frenchips goût Poivre noir et Sel,8,c,1881,1.7,5.2,5.3,5.7,0.572
Pétales de Blé au Chocolat,9,c,1682,1.4,34,6.4,8.7,0.152
Flakers Choco,8,c,1610,1,28.8,5,8.8,0.27432
Special K fruits rouges,7,c,1592,0.2,19,5,9,0.372
Forme Flakes Nature,10,c,1570,0.5,13,3,13,0.7112
Spécial K au chocolat au lait,12,d,1657,2.5,22,1.2,8.8,0.34
Pétales aux lentilles nature BIO,15,d,1926,1.8,1.2,0,13,0.88
Frosties,13,d,1594,0.1,37,2,4.5,0.332
FROSTIES,13,d,1569,0.1,37,2,4.5,0.332
Pétales de patate douce bio,15,d,2239,4,27,0,4.3,0.12
Roses Des Sables Choc Noir,13,d,1972,13.7,15.6,5.7,7.5,0.012
